ListName,DomainOwner,CRMType,PullOwner
ASOMConfig_F26_PULL,AMO/L8,MCCB,MES
ASOMDispatchConfig_F26_PULL,AMO/L8,Direct Pull Special,PIC
AssembleLotAttributeRules_F26_PULL,MES,Users,Users
AutoFOSBNameConfig_F26_PULL,MES,Direct Pull,PIC
AutoMergeSplitConfig_F26_PULL,MES,Direct Pull Special,PIC
BatchToolList_F26_PULL,AIT,Direct Pull,PIC
BOMAttachOpers_F26_PULL,SFC,Direct Pull,PIC
CascadeConfig_F26_PULL,AMO/L8,MCCB,PIC
ChainLogEventSetup_F26_PULL,MES,Direct Pull,PIC
ChildLotPlanConfigurationForSplitLotRework_F26_PULL,MES,Direct Pull,PIC
ClusterConfiguration_F26_PULL,AMO/L8,MCCB,PIC
ComplexPAPermutations_F26_PULL,MES,Direct Pull,PIC
ComponentLossCodes_F26_PULL,MES,Users,Users
CQTReworkOperGroups_F26_PULL,MES,Users,Users
CriticalQueueTimeConfiguration_F26_PULL,AMO/L8,Direct Pull Special,PIC
CriticalQueueTimeConfigurationEx_F26_PULL,AMO/L8,Direct Pull Special,PIC
CustomizationMap_F26_PULL,AMO/L8,MCCB,PIC
DieTraynLidPMDueMaxCounts_F26_PULL,MES,Direct Pull,PIC
DOCLotDieBonusCodes_F26_PULL,MES,MCCB,PIC
DOCLotDieLossCodes_F26_PULL,AIT,Direct Pull,PIC
EquipModel_F26_PULL,AIT,Direct Pull,PIC
EquipProcessing_F26_PULL,AIT,Direct Pull,PIC
ExceptionNotificationConfiguration_F26_PULL,AMO/L8,MCCB,PIC
ExcludeFromL8Processing_F26_PULL,AMO/L8,MCCB,PIC
ForceLotPurgeConfiguration_F26_PULL,AIT,Direct Pull Special,PIC
FOUPCarrierConfigurations_F26_PULL,MES,Direct Pull,PIC
FOUPCarrierOperationValidation_F26_PULL,AIT,Direct Pull,PIC
FOUPCarrierType_F26_PULL,AIT,Direct Pull,PIC
FunctionalAreaValidation_F26_PULL,WIP,Direct Pull,PIC
GlassWaferConstants_F26_PULL,MES,Users,Users
Groups_F26_PULL,AIT,Direct Pull,PIC
IncludeMOQEventsEntities_F26_PULL,AMO/L8,Direct Pull,PIC
IntelErrorCodes_F26_PULL,MES,Direct Pull,PIC
L8CapableTools_F26_PULL,AMO/L8,Direct Pull Special,PIC
L8CustomizationPointWFConfig_F26_PULL,AMO/L8,MCCB,PIC
L8SSTChemGroupPrecedence_F26_PULL,AMO/L8,Users,Users
L8SSTOperChemGroupMapping_F26_PULL,AMO/L8,Users,Users
L8VIMOperToSpecies_F26_PULL,AMO/L8,Users,Users
LossCodes_F26_PULL,AIT,Direct Pull,PIC
LotAttributeSortDestinationValidationList_F26_PULL,MES,Direct Pull,MES
MergeLotAttributesRules_F26_PULL,MES,Users,Users
NonGatingDispoOperationConfiguration_F26_PULL,MES,Users,Users
OperationAttributes_F26_PULL,MES,Direct Pull,PIC
OperationWorkflowDefinition_F26_PULL,WIP,Direct Pull Special,PIC
PartialWaferDieLossCodes_F26_PULL,AIT,Users,Users
PFCFunctionalTypes_F26_PULL,WIP,Direct Pull,PIC
PFCMaskAlignments_F26_PULL,WIP,Direct Pull,PIC
PiecePartVendorUDA_F26_PULL,AIT,Users,Users
PMCounterReset_F26_PULL,AIT,Direct Pull,PIC
ProcessRevNumbers_F26_PULL,MES,Direct Pull,PIC
ProductCodeGroup_F26_PULL,MES,Users,Users
ProductAutoAdjustMapping_F26_PULL,MES,Users,Users
ProductPackageFamily_F26_PULL,MES,Users,Users
ProductPackageType_F26_PULL,MES,Users,Users
PurgeFOUPTypeConfig_F26_PULL,AIT,Direct Pull,PIC
PurgeOperationConfigEx_F26_PULL,AIT,Direct Pull Special,PIC
PxCascadeTrack2_F26_PULL,AMO/L8,MCCB,PIC
ReelDieLossCodes_F26_PULL,AIT,Users,Users
RegenManualMoveOutConfig_F26_PULL,AIT,Direct Pull,PIC
ReworkCauses_F26_PULL,WIP,Direct Pull,PIC
ReworkLimitOnLithoLayers_F26_PULL,MES,Users,Users
SmartDelayConfigurationEx_F26_PULL,AMO/L8,Direct Pull Special,PIC
SONIC_SKIP_OPERATIONS_1272_F26_PULL,MES,Users,Users
SONIC_SKIP_OPERATIONS_1273_F26_PULL,MES,Users,Users
SONIC_SKIP_OPERATIONS_1274_F26_PULL,MES,Users,Users
SorterAction_F26_PULL,WIP,Direct Pull,PIC
StartsQueueConfiguration_F26_PULL,AIT,Direct Pull,PIC
SubmarineConfig_F26_PULL,MES,Direct Pull Special,PIC
SubmarineLiteCapacitorConfig_F26_PULL,MES,Direct Pull Special,PIC
TALAConcurrencyEnabledTool_F26_PULL,MES,Direct Pull Special,PIC
TALAExcludedUDAUpdate_F26_PULL,AIT,Direct Pull,PIC
TestWaferToolTypesDefect_F26_PULL,AIT,Direct Pull,PIC
TestWaferToolTypesParticle_F26_PULL,AIT,Direct Pull,PIC
TestWaferToolTypesThickness_F26_PULL,AIT,Direct Pull,PIC
TimerDefinition_F26_PULL,AIT,Direct Pull,PIC
TimerOperEvents_F26_PULL,AIT,Direct Pull,PIC
TWAttributesReset_F26_PULL,MES,Direct Pull,PIC
UndoAllowedIntermediateTransactions_F26_PULL,WIP,Direct Pull,MES
UndoSplitMergeIntermediateTransactionFilter_F26_PULL,WIP,MCCB,MES
VFMFGIDValidationList_F26_PULL,User,Direct Pull,PIC
WaferDieBonusCodes_F26_PULL,MES,Users,Users
WaferDieLossCodes_F26_PULL,MES,Users,Users
WIPSteeringConfigurationEx_F26_PULL,AIT,Direct Pull,PIC
