ListName,DomainOwner,CRMType,PullOwner
IntelErrorCodes_F32_PULL,MES,Direct Pull,PIC
L8CapableTools_F32_PULL,AMO/L8,Direct Pull Special,PIC
L8CustomizationPointWFConfig_F32_PULL,AMO/L8,MCCB,PIC
L8SSTChemGroupPrecedence_F32_PULL,AMO/L8,Users,Users
L8SSTOperChemGroupMapping_F32_PULL,AMO/L8,Users,Users
L8VIMOperToSpecies_F32_PULL,AMO/L8,Users,Users
LossCodes_F32_PULL,AIT,Direct Pull,PIC
LotAttributeSortDestinationValidationList_F32_PULL,MES,Direct Pull,MES
NonGatingDispoOperationConfiguration_F32_PULL,MES,Users,Users
OperationWorkflowDefinition_F32_PULL,WIP,Direct Pull Special,PIC
PFCFunctionalTypes_F32_PULL,WIP,Direct Pull,PIC
PFCMaskAlignments_F32_PULL,WIP,Direct Pull,PIC
PMCounterReset_F32_PULL,AIT,Direct Pull,PIC
ProcessRevNumbers_F32_PULL,MES,Direct Pull,PIC
PurgeFOUPTypeConfig_F32_PULL,AIT,Direct Pull,PIC
PurgeOperationConfigEx_F32_PULL,AIT,Direct Pull Special,PIC
PxCascadeTrack2_F32_PULL,AMO/L8,MCCB,PIC
RegenManualMoveOutConfig_F32_PULL,AIT,Direct Pull,PIC
ReworkCauses_F32_PULL,WIP,Direct Pull,PIC
ReworkLimitOnLithoLayers_F32_PULL,MES,Users,Users
SmartDelayConfigurationEx_F32_PULL,AMO/L8,Direct Pull Special,PIC
SONIC_SKIP_OPERATIONS_1222_F32_PULL,MES,Users,Users
SONIC_SKIP_OPERATIONS_1272_F32_PULL,MES,Users,Users
SONIC_SKIP_OPERATIONS_1273_F32_PULL,MES,Users,Users
SONIC_SKIP_OPERATIONS_1274_F32_PULL,MES,Users,Users
SONIC_SKIP_OPERATIONS_1275_F32_PULL,MES,Users,Users
SorterAction_F32_PULL,WIP,Direct Pull,PIC
StartsQueueConfiguration_F32_PULL,AIT,Direct Pull,PIC
SubmarineConfig_F32_PULL,MES,Direct Pull Special,PIC
SubmarineLiteCapacitorConfig_F32_PULL,MES,Direct Pull Special,PIC
TALAConcurrencyEnabledTool_F32_PULL,MES,Direct Pull Special,PIC
TALAExcludedUDAUpdate_F32_PULL,AIT,Direct Pull,PIC
TestWaferToolTypesDefect_F32_PULL,AIT,Direct Pull,PIC
TestWaferToolTypesParticle_F32_PULL,AIT,Direct Pull,PIC
TestWaferToolTypesThickness_F32_PULL,AIT,Direct Pull,PIC
TWAttributesReset_F32_PULL,MES,Direct Pull,PIC
UndoAllowedIntermediateTransactions_F32_PULL,WIP,Direct Pull,MES
UndoSplitMergeIntermediateTransactionFilter_F32_PULL,WIP,MCCB,MES
VFMFGIDValidationList_F32_PULL,User,Direct Pull,PIC
WIPSteeringConfigurationEx_F32_PULL,AIT,Direct Pull,PIC
AMQueueCompareConfig_F24_PULL,AMO/L8,MCCB,PIC
AreaModuleValidation_F24_PULL,AIT,Direct Pull,PIC
ASOMConfig_F24_PULL,AMO/L8,MCCB,MES
ASOMDispatchConfig_F24_PULL,AMO/L8,Direct Pull Special,PIC
AutoFOSBNameConfig_F24_PULL,MES,Direct Pull,PIC
AutoMergeSplitConfig_F24_PULL,MES,Direct Pull Special,PIC
BatchToolList_F24_PULL,AIT,Direct Pull,PIC
CascadeConfig_F24_PULL,AMO/L8,MCCB,PIC
ChainLogEventSetup_F24_PULL,MES,Direct Pull,PIC
ChildLotPlanConfigurationForSplitLotRework_F24_PULL,MES,Direct Pull,PIC
ClusterConfiguration_F24_PULL,AMO/L8,MCCB,PIC
ComplexPAPermutations_F24_PULL,MES,Direct Pull,PIC
CriticalQueueTimeConfiguration_F24_PULL,AMO/L8,Direct Pull Special,PIC
CriticalQueueTimeConfigurationEx_F24_PULL,AMO/L8,Direct Pull Special,PIC
